Price,Property Type,Rooms,Den Included,Number of Bathrooms,Latitude,Longitude,Size (sqft),Walk Score,Transit Score,Bike Score,Time to Nearest Hospital,Time to Nearest Police Station,Time to Nearest Store,Time to Nearest Pharmacy
2200,Apartment,1.0,0.0,1.0,44.6496482,-63.5784811,634,96,73,66,185.0,34.0,263.0,226.0
2725,Apartment,2.0,0.0,1.0,44.6496482,-63.5784811,1107,96,73,66,185.0,34.0,263.0,226.0
1950,Apartment,1.0,0.0,1.0,44.6523009,-63.5803333,634,97,73,64,218.0,71.0,296.0,207.0
1995,Apartment,1.0,0.0,1.0,44.6526424,-63.5808344,634,89,65,80,180.0,33.0,258.0,167.0
1950,Apartment,1.0,0.0,1.0,44.6505658,-63.5783197,634,99,73,63,261.0,154.0,339.0,254.0
1895,Apartment,1.0,0.0,1.0,44.6499639,-63.5779243,634,89,65,80,239.0,131.0,317.0,232.0
2250,Apartment,1.0,0.0,1.0,44.6492461,-63.5776545,634,95,71,76,214.0,107.0,292.0,207.0
1675,Apartment,1.0,0.0,1.0,44.655323,-63.5843679,634,89,65,80,263.0,142.0,342.0,236.0
1975,Apartment,1.0,0.0,1.0,44.655323,-63.5843679,634,95,71,76,263.0,142.0,342.0,236.0
3070,Apartment,3.0,0.0,1.0,44.655323,-63.5843679,2149,89,65,80,263.0,142.0,342.0,236.0
2110,Apartment,1.0,0.0,1.0,44.6405701,-63.5782145,634,89,65,80,103.0,217.0,208.0,109.0
2640,Apartment,2.0,0.0,1.0,44.6405701,-63.5782145,1107,99,67,69,103.0,217.0,208.0,109.0
1780,Apartment,1.0,0.0,1.0,44.6352091,-63.5767624,634,99,67,70,166.0,208.0,136.0,121.0
1970,Apartment,1.0,0.0,1.0,44.6352091,-63.5767624,634,89,65,80,166.0,208.0,136.0,121.0
2735,Apartment,2.0,0.0,1.0,44.6352091,-63.5767624,1107,89,65,80,166.0,208.0,136.0,121.0
2100,Apartment,1.0,0.0,1.0,44.6413544,-63.5812567,634,89,65,80,127.0,353.0,314.0,99.0
2655,Apartment,2.0,0.0,1.0,44.6413544,-63.5812567,1107,70,55,39,127.0,353.0,314.0,99.0
1895,Apartment,1.0,0.0,1.0,44.6668958,-63.6610414,634,97,70,95,940.0,881.0,144.0,143.0
2360,Apartment,2.0,0.0,1.0,44.6668958,-63.6610414,1107,89,65,80,934.0,881.0,144.0,143.0
2050,Apartment,1.0,0.0,1.0,44.6513252,-63.5915036,634,96,69,92,127.0,210.0,167.0,183.0
2495,Apartment,2.0,0.0,1.0,44.6513252,-63.5915036,1107,89,65,80,127.0,210.0,167.0,183.0
1750,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,634,78,63,68,188.0,307.0,106.0,149.0
1985,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,634,89,65,80,188.0,307.0,106.0,149.0
1500,Apartment,1.0,0.0,1.0,44.6476276,-63.623603,634,89,65,80,698.0,727.0,249.0,208.0
2200,Apartment,2.0,0.0,1.0,44.6476276,-63.623603,1107,89,65,80,698.0,727.0,249.0,208.0
2100,Apartment,1.0,0.0,1.0,44.6427695,-63.5705652,634,84,62,69,212.0,61.0,124.0,208.0
2500,Apartment,2.0,0.0,1.0,44.6427695,-63.5705652,1107,84,62,69,212.0,61.0,124.0,208.0
1600,Apartment,1.0,0.0,1.0,44.638744,-63.5969291,634,84,62,69,283.0,155.0,260.0,186.0
1600,Apartment,1.0,0.0,1.0,44.638744,-63.5969291,634,84,62,69,283.0,155.0,260.0,186.0
1850,Apartment,1.0,0.0,1.0,44.638744,-63.5969291,634,92,63,60,283.0,155.0,260.0,186.0
1900,Apartment,1.0,0.0,1.0,44.638744,-63.5969291,634,89,65,80,283.0,155.0,260.0,186.0
1650,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,92,63,60,252.0,102.0,31.0,108.0
2100,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,89,65,80,252.0,102.0,31.0,108.0
2100,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,92,63,65,252.0,102.0,31.0,108.0
2100,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,89,65,80,252.0,102.0,31.0,108.0
1650,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,92,63,60,252.0,102.0,31.0,108.0
2100,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,92,63,65,252.0,102.0,31.0,108.0
2100,Apartment,1.0,0.0,1.0,44.6375358,-63.5703159,634,89,65,80,252.0,102.0,31.0,108.0
1700,Apartment,1.0,0.0,1.0,44.6374151,-63.579734,634,87,65,69,134.0,184.0,177.0,112.0
1950,Apartment,1.0,0.0,1.0,44.6520857,-63.6502034,634,87,65,69,837.0,779.0,245.0,194.0
1800,Apartment,1.0,0.0,1.0,44.6351521,-63.5784698,634,84,62,69,180.0,230.0,187.0,154.0
2200,Apartment,2.0,0.0,1.0,44.6351521,-63.5784698,1107,89,65,80,180.0,230.0,187.0,154.0
1850,Apartment,1.0,0.0,1.0,44.6383984,-63.5965592,634,97,66,66,276.0,148.0,266.0,180.0
1895,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
1895,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,97,66,66,126.0,130.0,122.0,96.0
1895,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
1895,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,97,66,66,126.0,130.0,122.0,96.0
2100,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
2100,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
2100,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
2200,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
2300,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,97,66,66,126.0,130.0,122.0,96.0
2300,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,89,65,80,126.0,130.0,122.0,96.0
2450,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,634,97,66,66,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,1.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,1.0,44.6381326,-63.5759137,1107,89,65,80,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,1.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,1.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,1.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,2.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,2.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2900,Apartment,2.0,0.0,1.5,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2900,Apartment,2.0,0.0,2.0,44.6381326,-63.5759137,1107,97,66,66,126.0,130.0,122.0,96.0
2900,Apartment,2.0,0.0,1.5,44.6381326,-63.5759137,1107,87,65,69,126.0,130.0,122.0,96.0
2900,Apartment,2.0,0.0,1.5,44.6381326,-63.5759137,1107,87,65,69,126.0,130.0,122.0,96.0
1900,Apartment,1.0,0.0,1.0,44.6360848,-63.5786275,634,94,66,69,164.0,214.0,199.0,162.0
1900,Apartment,1.0,0.0,1.0,44.6360848,-63.5786275,634,89,65,80,164.0,214.0,199.0,162.0
1900,Apartment,1.0,0.0,1.0,44.6370452,-63.5783189,634,94,66,69,148.0,198.0,191.0,146.0
1900,Apartment,1.0,0.0,1.0,44.6370452,-63.5783189,634,89,65,80,148.0,198.0,191.0,146.0
2500,Apartment,2.0,0.0,2.0,44.6514855,-63.653567,1107,89,65,80,888.0,830.0,312.0,260.0
2500,Apartment,2.0,0.0,2.0,44.6514855,-63.653567,1107,85,67,47,888.0,830.0,312.0,260.0
2300,Apartment,2.0,0.0,1.0,44.6342859,-63.5955941,1107,89,65,80,394.0,78.0,352.0,309.0
2400,Apartment,2.0,0.0,1.0,44.6540537,-63.6089479,1107,99,71,78,405.0,475.0,156.0,204.0
2549,Apartment,2.0,0.0,1.0,44.65687,-63.64882,1107,89,65,80,915.0,869.0,224.0,175.0
2495,Apartment,2.0,0.0,1.0,44.6513252,-63.5915036,1107,89,65,80,127.0,210.0,167.0,183.0
2500,Apartment,2.0,0.0,1.0,44.6427695,-63.5705652,1107,96,73,66,212.0,61.0,124.0,208.0
2900,Apartment,2.0,0.0,2.0,44.6381326,-63.5759137,1107,89,65,80,126.0,130.0,122.0,96.0
2725,Apartment,2.0,0.0,1.0,44.6496482,-63.5784811,1107,99,73,63,185.0,34.0,263.0,226.0
1985,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,634,89,65,80,188.0,307.0,106.0,149.0
2250,Apartment,1.0,0.0,1.0,44.6492461,-63.5776545,634,89,65,80,214.0,107.0,292.0,207.0
3070,Apartment,3.0,0.0,1.0,44.655323,-63.5843679,2149,89,65,80,263.0,142.0,342.0,236.0
2640,Apartment,2.0,0.0,1.0,44.6405701,-63.5782145,1107,89,65,80,103.0,217.0,208.0,109.0
2481,Apartment,2.0,0.0,1.0,44.6562544,-63.6499743,1107,89,65,80,941.0,882.0,233.0,184.0
2360,Apartment,2.0,0.0,1.0,44.6668958,-63.6610414,1107,89,65,80,934.0,881.0,144.0,143.0
2110,Apartment,2.0,0.0,2.0,44.6538774,-63.6228156,1107,89,56,58,660.0,688.0,254.0,149.0
1380,Apartment,2.0,0.0,1.0,44.6004451,-63.6064703,1107,89,65,80,964.0,906.0,289.0,259.0
1995,Apartment,1.0,0.0,1.0,44.6491639,-63.6570958,634,98,72,65,896.0,838.0,367.0,316.0
1829,Apartment,1.0,0.0,1.0,44.6869041,-63.5805506,634,89,65,80,591.0,673.0,284.0,182.0
1799,Apartment,1.0,0.0,1.0,44.6882323,-63.5874863,634,89,65,80,566.0,715.0,326.0,189.0
1595,Apartment,1.0,0.0,1.0,44.642637,-63.5714741,520,89,65,80,181.0,124.0,94.0,181.0
2195,Apartment,1.0,1.0,1.0,44.64601,-63.5904884,676,89,65,80,176.0,295.0,135.0,76.0
2145,Apartment,1.0,1.0,1.0,44.6436065,-63.5773553,689,95,65,72,198.0,253.0,267.0,101.0
2195,Apartment,1.0,1.0,1.0,44.6436065,-63.5773553,788,80,63,74,198.0,253.0,267.0,101.0
2195,Apartment,1.0,0.0,1.0,44.6436065,-63.5773553,530,80,63,74,198.0,253.0,267.0,101.0
2125,Apartment,1.0,0.0,1.0,44.64601,-63.5904884,528,80,63,74,176.0,295.0,135.0,76.0
1795,Apartment,1.0,0.0,1.0,44.6413453,-63.5697847,409,89,65,80,263.0,26.0,89.0,173.0
2125,Apartment,1.0,0.0,1.0,44.64601,-63.5904884,564,89,65,77,176.0,295.0,135.0,76.0
4195,Apartment,2.0,1.0,2.0,44.6621893,-63.5976201,1437,89,65,85,392.0,271.0,277.0,176.0
2395,Apartment,2.0,0.0,1.0,44.6501525,-63.6238817,936,89,65,80,625.0,654.0,182.0,142.0
3695,Apartment,2.0,0.0,2.0,44.6501525,-63.6238817,1238,89,65,80,625.0,654.0,182.0,142.0
2595,Apartment,2.0,0.0,2.0,44.6501525,-63.6238817,1033,89,65,80,625.0,649.0,182.0,142.0
2750,Apartment,2.0,0.0,1.0,44.6683973,-63.5665261,1107,89,65,80,374.0,528.0,278.0,101.0
2029,Apartment,1.0,0.0,1.0,44.6496482,-63.5784811,507,99,73,63,185.0,34.0,263.0,226.0
2200,Apartment,1.0,0.0,1.0,44.6496482,-63.5784811,700,97,66,66,185.0,34.0,263.0,226.0
2725,Apartment,2.0,0.0,1.0,44.6496482,-63.5784811,890,89,65,80,185.0,34.0,263.0,226.0
1895,Apartment,1.0,0.0,1.0,44.6498362,-63.5779134,659,97,66,66,234.0,127.0,313.0,227.0
2050,Apartment,1.0,0.0,1.0,44.6513252,-63.5915036,760,99,67,75,127.0,210.0,167.0,183.0
2495,Apartment,2.0,0.0,1.0,44.6513252,-63.5915036,961,89,65,80,127.0,210.0,167.0,183.0
2250,Apartment,1.0,0.0,1.0,44.6492461,-63.5776545,768,66,53,33,214.0,107.0,292.0,207.0
1995,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,500,89,65,80,126.0,130.0,122.0,96.0
2450,Apartment,1.0,0.0,1.0,44.6381326,-63.5759137,800,96,69,90,126.0,130.0,122.0,96.0
2900,Apartment,2.0,0.0,2.0,44.6381326,-63.5759137,1050,89,65,80,126.0,130.0,122.0,96.0
2600,Apartment,2.0,0.0,1.0,44.6381326,-63.5759137,800,86,72,70,126.0,130.0,122.0,96.0
2735,Apartment,2.0,0.0,1.0,44.6352281,-63.5766609,950,89,65,80,167.0,208.0,136.0,121.0
1895,Apartment,1.0,0.0,1.0,44.6679796,-63.6621903,780,80,63,74,1056.0,1003.0,266.0,265.0
2359,Apartment,2.0,0.0,1.0,44.6679796,-63.6621903,1350,80,63,74,1056.0,1003.0,266.0,265.0
1750,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,507,80,63,74,188.0,307.0,106.0,149.0
1985,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,881,89,65,80,188.0,307.0,106.0,149.0
1780,Apartment,1.0,0.0,1.0,44.6352281,-63.5766609,475,60,50,41,167.0,208.0,136.0,121.0
3695,Apartment,2.0,0.0,2.0,44.6501525,-63.6238817,1238,73,54,53,625.0,649.0,182.0,142.0
2549,Apartment,2.0,0.0,1.0,44.65687,-63.64882,1129,83,62,73,909.0,869.0,224.0,175.0
1829,Apartment,1.0,0.0,1.0,44.6882057,-63.5833194,739,89,65,80,671.0,733.0,344.0,187.0
1499,Apartment,1.0,0.0,1.0,44.6809806,-63.5854418,650,97,70,95,626.0,616.0,227.0,93.0
2110,Apartment,2.0,0.0,2.0,44.6538774,-63.6228156,945,97,70,95,660.0,688.0,254.0,149.0
2585,Apartment,2.0,0.0,1.0,44.7001174,-63.6085117,1285,63,54,40,765.0,853.0,477.0,350.0
2245,Apartment,2.0,0.0,1.0,44.6541368,-63.5343808,1210,63,54,40,246.0,1018.0,640.0,563.0
1679,Apartment,2.0,0.0,1.0,44.683973,-63.5874321,894,93,64,69,662.0,658.0,269.0,112.0
1750,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,634,89,65,80,188.0,307.0,106.0,149.0
1985,Apartment,1.0,0.0,1.0,44.6487332,-63.5917473,634,99,67,67,188.0,307.0,106.0,149.0
1895,Apartment,1.0,0.0,1.0,44.6668958,-63.6610414,634,95,71,76,934.0,881.0,144.0,143.0
2360,Apartment,2.0,0.0,1.0,44.6668958,-63.6610414,1107,95,71,76,934.0,881.0,144.0,143.0
1845,Apartment,1.0,0.0,1.0,44.6413544,-63.5812567,634,95,71,76,127.0,353.0,314.0,99.0
2110,Apartment,1.0,0.0,1.0,44.6413544,-63.5812567,634,95,71,76,127.0,353.0,314.0,99.0
2655,Apartment,2.0,0.0,1.0,44.6413544,-63.5812567,1107,99,73,63,127.0,353.0,314.0,99.0
1780,Apartment,1.0,0.0,1.0,44.6352091,-63.5767624,634,95,73,64,166.0,208.0,136.0,121.0
1970,Apartment,1.0,0.0,1.0,44.6352091,-63.5767624,634,97,73,65,166.0,208.0,136.0,121.0
2735,Apartment,2.0,0.0,1.0,44.6352091,-63.5767624,1107,89,65,80,166.0,208.0,136.0,121.0
2100,Apartment,1.0,0.0,1.0,44.6405701,-63.5782145,634,96,73,66,103.0,217.0,208.0,109.0
2640,Apartment,2.0,0.0,1.0,44.6405701,-63.5782145,1107,98,73,64,103.0,217.0,208.0,109.0
1975,Apartment,1.0,0.0,1.0,44.655323,-63.5843679,634,70,51,41,263.0,142.0,342.0,236.0
2540,Apartment,2.0,0.0,1.0,44.655323,-63.5843679,1107,70,51,54,263.0,142.0,342.0,236.0
3070,Apartment,3.0,0.0,1.0,44.655323,-63.5843679,2149,89,65,80,263.0,142.0,342.0,236.0
2250,Apartment,1.0,0.0,1.0,44.6492461,-63.5776545,634,95,65,54,214.0,107.0,292.0,207.0
1895,Apartment,1.0,0.0,1.0,44.6499639,-63.5779243,634,95,65,54,239.0,131.0,317.0,232.0
1950,Apartment,1.0,0.0,1.0,44.6505658,-63.5783197,634,95,65,54,261.0,154.0,339.0,254.0
1995,Apartment,1.0,0.0,1.0,44.6526424,-63.5808344,634,95,65,54,180.0,33.0,258.0,167.0
1950,Apartment,1.0,0.0,1.0,44.6523009,-63.5803333,634,95,65,54,218.0,71.0,296.0,207.0
2030,Apartment,1.0,0.0,1.0,44.6496482,-63.5784811,634,78,63,68,185.0,34.0,263.0,226.0
2200,Apartment,1.0,0.0,1.0,44.6496482,-63.5784811,634,78,63,68,185.0,34.0,263.0,226.0
1815,Apartment,2.0,0.0,1.0,44.6381188,-63.5716744,651,89,65,80,228.0,116.0,56.0,84.0
1925,Apartment,2.0,0.0,1.0,44.6381188,-63.5716744,651,94,62,51,228.0,116.0,56.0,84.0
1295,Apartment,1.0,0.0,1.0,44.6381188,-63.5716744,439,89,65,80,228.0,116.0,56.0,84.0
1295,Apartment,1.0,0.0,1.0,44.6381188,-63.5716744,439,93,66,80,228.0,116.0,56.0,84.0
1275,Apartment,1.0,0.0,1.0,44.6469347,-63.6234465,678,93,66,80,720.0,744.0,271.0,231.0
1750,Apartment,2.0,0.0,1.0,44.6469347,-63.6234465,840,73,51,59,720.0,744.0,271.0,231.0
1630,Apartment,2.0,0.0,1.0,44.6686356,-63.5486694,758,68,61,62,291.0,784.0,534.0,290.0
1695,Apartment,2.0,0.0,1.0,44.6686356,-63.5486694,758,80,53,57,291.0,784.0,534.0,290.0
1995,Apartment,3.0,0.0,1.0,44.6686356,-63.5486694,974,92,63,65,291.0,784.0,534.0,290.0
2495,Apartment,2.0,0.0,1.0,44.6416883,-63.5805807,1107,89,65,80,99.0,299.0,280.0,71.0
1450,Apartment,1.0,0.0,1.0,44.6416883,-63.5805807,300,97,72,63,99.0,299.0,280.0,71.0
1650,Apartment,1.0,0.0,1.0,44.6416883,-63.5805807,634,89,65,80,99.0,299.0,280.0,71.0
1545,Apartment,1.0,0.0,1.0,44.639189,-63.5702918,371,97,72,61,230.0,64.0,18.0,127.0
1595,Apartment,1.0,0.0,1.0,44.6775525,-63.5473507,686,96,67,72,527.0,864.0,608.0,438.0
1695,Apartment,1.0,0.0,1.0,44.6412607,-63.5847403,410,89,65,80,149.0,368.0,349.0,94.0
1695,Apartment,1.0,0.0,1.0,44.6412607,-63.5847403,410,97,68,85,149.0,368.0,349.0,94.0
1695,Apartment,1.0,0.0,1.0,44.6633961,-63.5563709,710,97,68,85,223.0,793.0,542.0,301.0
1695,Apartment,3.0,0.0,1.0,44.6624065,-63.5558804,890,86,57,79,270.0,840.0,590.0,349.0
1750,Apartment,2.0,0.0,1.0,44.6705149,-63.5873317,884,89,65,80,594.0,494.0,151.0,223.0
2695,Apartment,2.0,0.0,2.0,44.6437056,-63.5697715,849,73,51,59,274.0,123.0,186.0,233.0
2025,Apartment,1.0,0.0,1.0,44.6437056,-63.5697715,584,89,65,80,274.0,123.0,186.0,233.0
2395,Apartment,2.0,0.0,1.0,44.6468236,-63.5976202,766,68,61,62,265.0,384.0,81.0,87.0
2450,Apartment,2.0,0.0,2.0,44.6556577,-63.5262859,1231,80,53,57,295.0,1104.0,683.0,613.0
2450,Apartment,2.0,0.0,1.0,44.6470339,-63.5938848,792,68,61,63,203.0,322.0,48.0,43.0
2495,Apartment,2.0,0.0,1.0,44.6470339,-63.5938848,792,89,65,80,203.0,322.0,48.0,43.0
2800,Apartment,2.0,0.0,2.0,44.6637951,-63.5632494,1332,82,66,75,395.0,614.0,364.0,106.0
1330,Apartment,1.0,0.0,1.0,44.6686356,-63.5486694,699,84,68,77,291.0,784.0,534.0,290.0
1630,Apartment,2.0,0.0,1.0,44.6686356,-63.5486694,758,85,70,80,291.0,784.0,534.0,290.0
1695,Apartment,2.0,0.0,1.0,44.6686356,-63.5486694,758,86,72,83,291.0,784.0,534.0,290.0
1995,Apartment,3.0,0.0,1.0,44.6686356,-63.5486694,974,88,75,85,291.0,784.0,534.0,290.0
1595,Apartment,1.0,0.0,1.0,44.6775525,-63.5473507,686,89,77,88,527.0,864.0,608.0,438.0
1695,Apartment,1.0,0.0,1.0,44.6633961,-63.5563709,710,90,79,90,223.0,793.0,542.0,301.0
